i,n_cfs,validity,proximity,sparsity,diversity,plausibility,actionability,wrong_dir_violations,immutable_violations
186,5,1.0,2.1127272727272723,0.0761904761904762,7.42,2.931589170922588,1.0,0.0,0.0
187,5,0.4,2.3181818181818183,0.06666666666666667,26.339999999999996,4.154307397441398,1.0,0.0,0.0
188,5,0.8,2.6700000000000004,0.08571428571428572,17.240000000000002,2.998530482068429,1.0,0.0,0.0
189,5,1.0,1.7584848484848485,0.09523809523809523,23.4,4.296014754685895,1.0,0.0,0.0
190,5,1.0,2.7363636363636363,0.0761904761904762,9.2,4.548202881581026,1.0,0.0,0.0
191,5,1.0,2.353636363636364,0.0761904761904762,18.259999999999998,3.611315288196998,1.0,0.0,0.0
192,5,1.0,1.5036363636363637,0.06666666666666667,3.4400000000000004,3.2479357661180366,1.0,0.0,0.0
193,5,1.0,2.4454545454545453,0.0761904761904762,18.06,3.2786358146402947,1.0,0.0,0.0
194,5,1.0,2.44969696969697,0.06666666666666667,3.9,4.491888751380558,1.0,0.0,0.0
195,5,1.0,2.266060606060606,0.0761904761904762,17.64,3.8729674884948997,1.0,0.0,0.0
196,5,1.0,2.3078787878787876,0.08571428571428572,9.079999999999998,3.1077144432817976,1.0,0.0,0.0
197,5,1.0,2.0784848484848486,0.05714285714285714,3.3200000000000003,3.853732098834105,1.0,0.0,0.0
198,5,1.0,2.3054545454545456,0.06666666666666667,3.2399999999999998,3.1519098736175732,1.0,0.0,0.0
199,5,0.8,1.9006060606060609,0.08571428571428572,18.98,4.0191110596142074,1.0,0.0,0.0
